,Unnamed: 0,name,type,IMDb,originalName,foreignName,nickname,romanPinyin,notableWork,debutWork,activeTime,debutTime,birthPlace,deathPlace,award,language,website,almaMater,education,religion,nationality,ethnicity,agency,hasSibling,hasSpouse,hasParent,hasChild,works
12920,1038636,['黄巧力'],['director'],[],[],[],[],[],[],[],[],[],"{'country': 'MYS', 'state': 'Pahang', 'city': 'Raub'}",{},['最佳电视纪录片奖'],[],[],[],[],[],{},[],[],[],[],[],[],[]
12921,1038848,['Category:香港导演电影'],['director'],[],[],[],[],[],[],[],[],[],{},{},[],[],[],[],[],[],{},[],[],[],[],[],[],[]
12922,1043474,['布莱恩·辛格'],['director'],[],[],[],[],[],[],[],['1988年-2021年'],[],"{'country': 'USA', 'state': 'New York', 'city': 'New York'}",{},[],[],[],[],[],[],{},[],[],[],[],[],[],[]
12923,114541,['麦当娜'],['director'],['0000187'],[],[],[],[],[],[],['1979年-2021年'],['1986年'],"{'country': 'USA', 'state': 'Michigan', 'city': 'Kawkawlin'}",{},[],[],[],[],[],[],{},[],[],[],['丹·吉尔罗伊'],[],[],[]
12924,1045698,['中国亿元票房导演俱乐部'],['director'],[],[],[],[],[],[],[],[],[],{},{},['金球奖'],[],[],[],[],[],{},[],[],[],[],[],[],[]
12925,1051055,['曹保平'],['director'],['3148857'],[],[],[],[],['《光荣的愤怒李米的猜想烈日灼心狗十三》'],[],['1990年-2021年'],[],"{'country': 'CHN', 'state': '山西省', 'city': '大同市'}",{},['最佳导演奖'],[],[],[],[],[],{},[],[],[],[],[],[],['《光荣的愤怒李米的猜想烈日灼心狗十三》']
12926,1056619,['贾克·欧迪亚'],['director'],[],[],[],[],[],[],[],['1994年-2021年'],[],"{'country': 'FRA', 'state': 'Île-de-France', 'city': 'Paris'}",{},['最佳导演奖'],[],[],[],[],[],{},[],[],[],[],['米歇·欧迪亚'],[],[]
12927,13346,['玛格丽特·杜拉斯'],['director'],[],[],[],[],[],"['《情人》', '《来自中国北方的情人》']",[],[],[],"{'country': 'CHN', 'state': '云南省', 'city': '德宏傣族景颇族自治州'}","{'country': 'FRA', 'state': 'Île-de-France', 'city': 'Paris'}",[],[],[],[],['大学'],[],{},[],[],[],[],[],['让·马斯科洛'],"['《情人》', '《来自中国北方的情人》']"
12928,1057436,['亚历士·普罗亚斯'],['director'],[],[],[],['座'],[],[],[],[],[],"{'country': 'EGY', 'state': 'الوادي الجديد', 'city': ''}",{},['布拉姆·史铎克奖最佳剧本'],[],[],[],[],[],"{'country': 'AUS', 'state': 'Northern Territory', 'city': 'Ghan'}",[],[],[],[],[],[],[]
12929,116671,['泰奥·安哲罗普洛斯'],['director'],[],[],[],[],[],[],[],['1968年-2012年'],[],{},"{'country': 'GRC', 'state': 'Αττική', 'city': 'Αθήνα'}",['坎城影展金棕榈奖'],[],[],[],[],[],{},[],[],[],['Phoebe Economopoulou'],[],[],[]
12930,1062521,['亚伦·雷奈'],['director'],[],[],[],[],[],[],[],[],[],{},"{'country': 'FRA', 'state': 'Île-de-France', 'city': 'Paris'}","['威尼斯影展金狮奖', '坎城影展费比西奖', '坎城影展评审团大奖', '柏林影展终身成就银熊奖', '柏林影展最佳成就银熊奖', '坎城影展特别奖']",[],[],[],[],[],{},[],[],[],[],[],[],[]
12931,1066104,['朱塞佩·托纳多雷'],['director'],[],[],[],[],[],"['《新天堂乐园》', '《海上钢琴师》', '《西西里岛的美丽传说》']",[],[],[],"{'country': 'ITA', 'state': 'Sicilia', 'city': 'Bagheria'}",{},['意大利大卫奖'],[],[],[],[],[],"{'country': 'ITA', 'state': 'Umbria', 'city': 'Campello sul Clitunno'}",[],[],[],[],[],[],"['《新天堂乐园》', '《海上钢琴师》', '《西西里岛的美丽传说》']"
12932,1069252,['秋元康'],['director'],[],[],['One Missed Call'],[],[],[],[],['1975年-2021年'],[],{},{},[],[],[],[],[],[],{},[],[],[],['高井麻巳子'],[],[],[]
12933,119027,['今敏'],['director'],[],[],['こん さとし'],[],['Kon Satoshi'],"['《东京教父》', '《盗梦侦探》', '《千年女优》']",['《蓝色恐惧》'],['1984年-2010年'],[],"{'country': 'JPN', 'state': '北海道', 'city': '中央区'}","{'country': 'TWN', 'state': '台中市', 'city': '北區'}",['众多奖'],['日语'],[],['武藏野美术大学'],['视觉传达设计系学士'],[],{},[],[],[],['今京子'],[],[],"['《东京教父》', '《盗梦侦探》', '《千年女优》', '《蓝色恐惧》']"
12934,1090894,['马楚成'],['director'],['0155598'],[],['Jingle Ma'],[],[],[],[],['1984年-2021年'],[],{},{},[],[],[],[],[],[],{},[],[],[],[],[],[],[]
