name,IMDb,originalName,foreignName,nickname,romanPinyin,type,job,notableWork,debutWork,activeYear,debutDate,birthPlace,deathPlace,award,language,website,motherSchool,education,religion,nationality,ethnicity,agency,hasRelative,hasSpouse,hasParent,hasChild
['甘婷婷'],['5296606'],[],['Bobo'],['婷婷、甘甘、宝宝、甘宝'],['Gan Ting Ting'],['女演员'],['演员'],['《水浒传》《深宫谍影》《新萧十一郎》'],['《朱元璋》'],['2005年至今'],['2005年'],['安徽省芜湖市'],[],[],['国语、英语'],[],[],['中央戏剧学院表演系(进修班)'],[],[],['汉族'],['海润影视'],[],[],[],[]
['雅琦'],[],['王雅琦（汉名）'],[' '],['雅琦'],[],['女演员'],['演员'],[],[],[],[],['北京市房山区'],[],[],['汉语'],[],[],['大学本科'],[],[],['回族'],['北京诚成时代国际文化发展有限公司'],[],[],[],['糖豆']
['江铠同'],['3358852'],['江灵、江金超'],['Kiton'],['同同、同妞'],['Jiang Kai Tong'],['女演员'],['演员'],['电视剧：《一不小心爱上你》《爱，来得刚好暖俩'],['一不小心爱上你'],['2009年至今'],[],['山东省青岛市'],[],[],['普通话、英语'],[],[],['中央戏剧学院表演系'],[],[],['汉族'],['湖南卫视(前)北京荣信达影视艺术(前)上海星力天际(前)华策影视(前)     江铠同工作室(现)'],[],[],[],[]
['玛吉·钱皮恩'],[],"['为', ""为'''玛乔里·赛勒斯特·贝尔彻'''（'''Marjorie Celeste Belcher'''）""]",[],[],[],[],['演员、舞蹈家、编舞家、教育家'],[],[],['1930年代至今'],[],['加利福尼亚州洛杉矶'],['加利福尼亚州洛杉矶'],[],[],[],[],[],[],['[[加利福尼亚州]][[洛杉矶]]'],[],[],[],['亚特·巴比特高尔·钱皮恩鲍里斯·萨加尔'],[],[]
['武井咲'],['3191754'],[],['武井 咲（）'],[],['Takei Emi'],['女艺人'],['演员、模特儿、主持人'],['电影今日开始谈恋爱电视剧教我爱的一切W的悲剧脆弱 病理医岸京一郎的所见黑色笔记本'],[],['2006年至今'],[],['爱知县名古屋市港区'],[],[],['日语'],['官方网站'],[],['日出高等学校通信制'],[],[],[],['奥斯卡传播'],[],[],[],[]
['崔浩然 (演员)'],['3099469'],[],[' '],['崔哥、大胃王'],['Choi Hao-ran'],['男演员'],['演员'],['大执法戏说慈禧一代女皇施公奇案 (台湾)富贵在天 (台湾电视剧)咳精广告 (台湾广告)'],['爱在明天'],['1978 年至今'],[],['宜兰'],[],[],['国语、台语'],['崔浩然粉丝团'],['强恕中学、辅仁大学毕业'],[],[],['山东'],[],['凤凰艺能'],[],[],[],[]
['林颖娴'],[],[],['Wing Lam'],[],[],['女演员'],[],[],[],['1987年-1993年'],[],[],[],[],[],[],['新法书院'],['南加州大学会计学学士'],[],['香港'],[],[],[],['Tom Dupont'],[],[]
['藤田进 (日本演员)'],[],[],[],[],[],['男演员'],['演员'],['《战舰大和》、《姿三四郎》'],[],['1930年 - 1990年'],[],['･福冈县久留米市'],['･东京都渋谷区'],[],[],[],[],['久留米市立南筑高等学校'],[],[],[],[],[],[],[],[]
['土屋嘉男'],[],[],[],[],[],['男演员'],['演员'],['《地球防卫军》，《怪兽大战争》'],[],['1958年 - 2017年'],[],['关东山梨县甲州市'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
['田崎润'],[],"['田中实加入演出', '田中实加入演出']",[],[],[],['男演员'],['演员'],['《日本诞生》，《太平洋之岚》'],[],['1933年 - 1985年'],[],"[',青森县青森市']",['东京都世田谷区'],[],[],[],[],['青森县立青森商业高等学校'],[],[],[],[],[],[],[],[]
['吴忠谚'],[],[],['Ray'],['岚天'],[],['男艺人'],['演员、模特儿、艺人'],[],[],[],[],['新北市'],[],[],['国语、台语'],['微博'],[],['复兴美工'],[],[],[],['艾迪升传播事业有限公司'],[],[],[],[]
['王祖贤'],['0939153'],[],['Joey Wong'],['小贤、老王、小倩、大美人'],['Wang Zu Xian'],['女演员'],['演员、模特、歌手'],['《倩女幽魂》《长短脚之恋》《潘金莲之前世今生》《赌神》'],['《今年的湖畔会很冷》'],['1984－2004年'],[],['台北市'],[],[],['国语、英语、闽南语、粤语'],[],[],['国光艺校肄业'],['佛教'],[],[],[],[],['齐秦'],['王耀煌'],[]
['萨摩·格拉'],[],[],[],[],[],[],['女演员'],[],[],['2002至今'],[],['德克萨斯州圣安东尼奥'],[],[],[],[],[],[],[],['《终结者外传:莎拉康纳战纪》中，萨摩扮演一名叫做Cameron的女终结者，任务是保护康纳母子，并阻止天网的'],[],[],[],['瓦尔·莫里森'],[],[]
['哈乐德·康韦'],[],[],[],[],[],[],[],[],[],[],[],['[[美国]][[宾夕法尼亚州]]的[[电影演员]]'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
['尼克·亚当斯'],[],[],[],[],[],[],[],[],[],['1952年–1968年'],[],['美国加利福尼亚州'],['美国加利福尼亚州比华利山'],[],[],[],[],[],[],[],[],[],[],[],[],['Allyson Lee']
['陈盈洁'],['6648233'],['陈金珠'],['Chen Ying-git'],['盈姊、歌坛大姊大'],[],['女歌手'],['演员、歌手'],['春风、天涯找爱人、期待再相会、毛毛雨、必巡的孔嘴、风飞沙、海海人生、乎我醉、破浪人生'],[],['1972年─迄今'],['1972年'],['新竹县关西镇'],[],[],['国语、台语、客语、泰雅语'],[],[],['高职二年级（休学）'],['佛教'],[],['泰雅族、客家人混血'],['凤凰艺能'],[],[],['陈俊奎、梁秀兰'],[]
['郝履仁'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
['高鸣 (演员)'],['0438067'],['刘明哲'],[],[],[],['男演员'],['演员'],['《嘉庆君与王得禄》《西螺七剑》《真情满天下》'],[],[],[],['台中州（今台中市）'],['新北市万里区'],[],['国语、台语'],[],[],[],[],[],[],[],"['刘明裁','刘明俊','刘林','刘奕儿','刘阡睿','刘峻廷']",['-{于}-真'],['刘金约'],[]
['言承旭'],['1543046'],['廖洋震'],['Jerry Yan'],['Jerry、阿旭、暴龙、小白兔'],[],['男艺人'],['歌手、演员、模特儿'],['《流星花园》《白色巨塔》《恋恋不忘》《篮球火》'],['《麻辣鲜师》'],['2000年至今'],[],['台湾省桃园县（今桃园市）'],[],[],['国语、台湾闽南语'],[],[],['新北市永和区顶溪国民小学  协和高级工商职业学校'],[],[],[],"['戏梦堂娱乐经纪有限公司（Dramadream Entertainment Co., Ltd.）言承旭靠“戏梦堂” 对抗柴智屏']",[],[],[],[]
['梁正群'],['4548414'],[],['Danny'],[],[],['男艺人'],['演员、歌手、广播节目主持人、DJ、录音工程师、作曲人、大学讲师'],['i-轻松'],['我把阿公搞丢了'],['2003年至今'],[],['[[台湾]]'],[],[],['国语、台语、英语'],[],[],['传播媒体科技系'],[],[],[],['福隆经纪'],[],[],['梁修身'],[]
['米娜·苏瓦丽'],['2546'],['Mena Alexandra Suvari S'],['Mena Suvari'],[],[],['女艺人'],['演员、模特、时装设计师'],[],[],['1995年至今'],[],['美国罗德岛州纽波特'],[],[],['英语'],[],[],[],[],[],[],[],[],[],[],[]
['金秀贤 (男演员)'],['4633543'],[],['김수현'],['秀MAN、都教授'],['Kim Soo Hyun'],['男演员'],['演员、歌手'],['《Dream High》《拥抱太阳的月亮》《伟大的隐藏者》《来自星星的你》《制作人们》《虽然是精神病但没关系》'],['《泡菜乳酪微笑》'],[],['2007年'],['首尔特别市'],[],"['了最佳短片奖', '休斯敦国际电影节白金雷米奖', '韩国电视剧大奖']",['韩国语、英语、日语'],['金秀贤韩国官方网站'],[],['韩国逸院小学(毕业)韩国中东中学(毕业)中央大学戏剧电影系 就读中'],[],[],[],['Keyeast（2010－2019年） Goldmedalist（2020年－）'],[],[],[],[]
['森美'],[],['梁志健'],['Sammy Leung'],['Sammy、荷兰森、森伯、森美大哥'],['Leung Chi Kin'],['男艺人'],[],[],['《青苹果与红提子》（电台节目）'],['1994年至今'],[],[],[],['《2006年万千星辉颁奖典礼》最佳节目主持《2009年上海电视节》最具个性主持'],[],[],[],['香港中文大学新闻及传播学荣誉社会科学学士'],['基督教'],['广东中山'],[],['TVB'],[],[],[],[]
['杨钧钧'],['3445704'],[],[' '],['西门大妈'],['Yang Chun-Chun'],['女演员'],[],['桃花传奇、西门无恨'],['折剑传奇'],['1979-1998'],['1979'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
['陈钰芸'],['3634777'],[],['JuJu Chan Szeto'],"['JuJu, 女版李小龙']",['Szeto Yuk Wan'],['女艺人'],['歌手、演员、运动员、电影监制'],[],[],['2010年至今'],['2010年'],[],[],"['以下奖', '国际武打女星奖']",['粤语、英语、普通话'],[],['纽约大学三藩市大学'],['多媒体广播系硕士'],[],[],[],"['Icon Unlimited, Gersh Agency, 太阳娱乐文化 至2017年6月']",[],[],[],[]
['金山 (演员)'],[],[],[],[],[],[],[],[],[],[],[],[],['京'],[],[],[],[],[],[],[],[],[],[],['章泯'],[],[]
['冯峰 (导演)'],[],['冯如胜'],[],[],['Fung Fung'],['导演'],['导演、演员'],[],[],['1937年－1969年'],[],['广东省香山县（今中山市）'],[],[],[],[],[],[],[],['广东香山县'],[],[],[],[],[],[]
['娄艺潇'],['4368988'],['娄霄霄'],['Loura Lou'],['兔子、疯兔、巨兔'],['Lou Yi Xiao'],['女艺人'],['演员、歌手'],['《爱情公寓》《爱情悠悠药草香》《鹿鼎记》《你是我的姐妹》《野生情人》'],['《爱情公寓》'],['2009年至今'],['2009年'],['辽宁省大连市'],[],[],['普通话'],[],[],['上海戏剧学院表演系音乐剧班'],[],[],['汉族'],['娄艺潇工作室'],[],[],[],[]
['Gino'],['3497727'],['蔡东威'],[],[],[],['男艺人'],['歌手、演员、主持人'],['紫禁之巅王子变青蛙廉政英雄我的老师叫小贺舞力全开大时代多情城市'],['紫禁之巅'],['2003年至今'],[],['嘉义县布袋镇'],[],[],['国语、台语、英语、些许日语'],[],[],['台北市私立东山高级中学淡江大学机械与机电工程学系'],[],[],[],['可达娱乐(2002年~2003年)阔耳演艺经纪事务工作室(2003年)捍卫舰娱乐(2003年12月~2004年)乔杰立娱乐(2004年~2006年；2021年~)大国翼星娱乐(2006年~2008年)恒星娱乐（2011年）凤凰艺能（2014年~至今）'],[],[],[],[]
['茱丽叶·毕诺许'],['0000300'],[],['   '],['La Binoche'],[],['女演员'],['演员、画家、舞蹈家'],[],[],['1983年~'],['1983年'],['巴黎'],[],['威尼斯电影节最佳女主角1993年 《蓝色情挑》柏林影展最佳女演员1996年 《英伦情人》  坎城影展最佳女演员2010年 《爱情对白》'],['法语、英语'],[],[],[],[],['[[摩洛哥]]生活一段时间；母亲Monique Yvette Stalens则是一位老师、导演和演员，'],[],[],[],[],[],['RaphaëlHana']
['许嘉凌'],['5040532'],[],['Ivy Hsu'],[],[],['女艺人'],[],['音乐专辑：超人气电影：混混天团电视剧：舞动台中电视节目：惊奇大冒险'],[],['2006年至今'],[],['德克萨斯州'],[],[],['英语、中文'],[],[],['美国加州南加州大学心理学、财务学双学士学位'],[],['台湾台北'],[],[],['许慧欣'],['陈海毅'],[],[]
['陈键锋'],['1227161'],['陈恩耀'],['Sammul Chan'],['锋锋、锋仔、三苗（Sammul谐音）、阿苗'],[],['男演员'],['演员、歌手、主持人'],['《学警系列》《律政新人王》《美人心计》《乱世佳人》《烽火佳人》'],[],['1996年至今'],[],['[[香港]]'],[],[],['粤语、普通话、英语'],[],[],['预科中七毕业'],['基督教'],['广东潮州潮汕演艺体育界名人列表'],[],['景丰娱乐（1999年至今）'],[],[],[],[]
['李燕萍'],['2507685'],[],"[' ', ' ']",[],['Lee Yin Ping'],['女艺人'],[],['TVB处境剧《73》'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
['芬妮·亚当'],[],[],[],[],[],[],['演员'],[],[],['1974–至今'],[],['曼恩-卢瓦尔省，索米尔'],[],[],[],[],[],[],[],['[[摩纳哥]]生活，17岁后到[[普罗旺斯]]念国际关系，二十出头的时候爱上了演戏。1974年首次演出舞台剧，隔年女儿'],[],[],[],[],[],[]
['叶天伦'],['4411141'],[],['Nelson Yeh'],['黑轮、西瓜这简单'],[],['导演'],['导演、演员、主持人'],['鸡排英雄、大稻埕、含笑食堂、紫色大稻埕、西城童话、外乡女、双城故事'],['在室男'],['1999年至今'],['1999年'],['台北市'],[],"['金钟奖', '金钟奖']",['国语、台语、英语'],['叶天伦的Facebook'],[],['中正高中世新大学广电系北艺大电影研究所'],[],[],[],['青睐影视制作股份有限公司'],"['叶绮玲','叶丹青']",[],"['叶金胜','潘凤珠']",[]
['卡尔·蒙纳'],[],[],[],[],[],['男演员'],[],[],[],[],[],['维也纳'],['麦卡伦得克萨斯州'],[],[],[],[],[],[],[],[],[],[],[],[],[]
['林炜'],['1831342'],[],[' '],[],['LIN Wei'],['男艺人'],['电视剧演员'],[],['《亲密关系》'],['1990年代至今'],['1990年'],['天津市'],[],[],['粤语、普通话、少许台湾闽南语'],[],[],[],[],['天津'],['满族'],[],[],['龚慈恩'],[],"['林恺铃','林卓毅']"
['李天柱'],['1165904'],[],['Mark Lee'],[],['Lee Tien-chu'],['男演员'],['演员'],['《甄嬛传》《加油妈妈》《追妻三人行》《几度夕阳红》\n《太阳花》'],['《吾土吾民》'],['1972年至今'],[],[],[],[],['中文'],[],[],['世界新闻专科学校肄业'],['基督教'],[],[],['齐石传播'],[],"['刘方英','张伟薇']",[],['李彤']
['丹尼尔·戴-刘易斯'],[],[],[],[],[],[],['演员'],[],[],['1970年－2018年'],[],['伦敦肯辛顿'],[],[],[],[],[],[],[],['[[美国]]与爱尔兰均有居所。曾与[[法国]]演员[[伊莎贝尔·阿佳妮]]（Isabelle Adjani）有过一段感情，两人育有一子：加百利-凯恩（Gabriel-Kane，于1995年4月9日在[[纽约]]'],[],[],[],[],[],[]
['许嘉允'],[],['许嘉允Cube娱乐发文'],['허가윤'],[],['Heo Ga Yoon'],['女艺人'],['歌手、演员'],[],['《Hot Issue》、《24/7》(子团2Yoon)'],['2009年至今'],['2009年6月18日'],['首尔特别市'],[],[],['韩语'],[],[],['韩国东德女子高中东国大学艺术学院演技学部'],[],[],[],['Cube娱乐（2009－2016）BS Company（2016－2018）Yuleum娱乐（2020年至今）'],[],[],[],[]
['林司敏'],[],[],['Ciwi'],[],[],[],['模特儿、演员'],[],[],['2008年至今'],[],[],[],[],[],[],['慈航学校圣公会林裘谋中学'],['香港浸会大学持续教育学院普通话高级教师文凭'],[],['社交网站Instagram表示已怀有35周身孕。2018年7月16日，阮德锵与林司敏的女儿阮婧恒'],[],['寰宇娱乐2009-2012'],[],[],[],['阮婧恒']
['杏 (演员)'],[],"['从事演艺工作', '从事演艺工作']",[' '],[],[],['女艺人'],['演员、歌手、模特儿'],[],[],['2001年至今'],[],['东京都涩谷区'],[],[],['日语、英语、法语'],[],[],[],[],[],[],['TOP COAT'],[],[],['渡边谦'],[]
['居文沛'],['3224989'],[],"[' ', ' ']",[],[],['节目主持'],['主持人'],[],[],[],['1999年6月'],['四川省重庆市'],[],[],['普通话'],['http://blog.sina.com.cn/juwenpei2006 居文沛的新浪博客][http://t.sina.com.cn/juwenpei 居文沛的新浪微博'],[],['上海音乐学院作曲指挥系'],[],['湖北省'],[],['百纳合润'],[],[],[],[]
['刘敏涛'],['4410729'],[],[' '],[],['Liu Min Tao'],['女演员'],['演员（影视、话剧）'],['电视剧：'],[],[],[],['山东省烟台市'],[],['第1届中国电视演员形象榜「演员行业形象金榜」2015微博之夜「年度最佳荧幕表现女演员《伪装者》」'],['普通话'],[],[],['中央戏剧学院93级表演系本科'],[],[],['汉族'],['得闲艺人经济'],[],[],[],[]
['海莉·史坦菲德'],[],[],[],[],[],[],[],[],[],['2007年-至今'],[],['加州洛杉矶'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
